,Unnamed: 0,Graph,Nodes,Edges,Density,Core Size,Generators,CoreIterations,Intersection Loss,Exact Runtime
0,,Slashdot0902_component,82168,582533,8.6e-05,48718,10,3,6|0,13851.414436
0,,facebook_combined_component,4039,88234,0.005409,2645,10,3,197|1,48.957431
0,,Wiki-Vote_component,7066,100736,0.002018,4579,10,3,2|0,130.952961
0,,Cit-HepTh_component,27400,352059,0.000469,24832,10,3,1|0,3528.833633
0,,Cit-HepPh_component,34401,420828,0.000356,32111,10,3,1|0,6088.861099
0,,web-Stanford_component,255265,1941926,3e-05,94953,10,3,87|0,79827.527358
0,,web-NotreDame_component,325729,1117563,1.1e-05,60160,10,3,2048|1,26447.362797
0,,com-amazon.ungraph_component,334863,925872,8e-06,216109,10,3,16|0,220345.706893
0,,com-dblp.ungraph_component,317080,1049866,1e-05,90077,10,3,9|0,70168.612805
0,,Email-Enron_component,33696,180811,0.000159,10424,10,3,12|0,747.466901
0,,CA-HepTh_component,8638,24827,0.000333,3605,10,3,11|0,46.50452
0,,CA-GrQc_component,4158,13428,0.000777,1336,10,3,7|0,7.979368
0,,CA-HepPh_component,11204,117649,0.000937,4825,10,3,6|0,184.149185
0,,CA-CondMat_component,21363,91342,0.0002,8603,10,3,11|0,395.33739
0,,CA-AstroPh_component,17903,197031,0.000615,9487,10,3,8|0,635.675363
