,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,5,24832,0.906277,347918,0.988238,3319,216,126.851852,0,0,0,2.304489,21.448371,0.008698,0.008698,24504,1.118185,0,0,0,11.757458,57.862240,0.982241,0.977791
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,10,24832,0.906277,347918,0.988238,3319,350,78.285714,0,0,0,2.210129,21.354011,0.014095,0.014095,24636,1.112194,0,0,0,13.000768,59.105550,0.986751,0.981494
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,100,24832,0.906277,347918,0.988238,3319,1637,16.737935,0,0,0,2.894992,22.038874,0.065883,0.065880,24747,1.107205,0,0,0,15.658252,61.763034,0.990577,0.984668
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,200,24832,0.906277,347918,0.988238,3319,2606,10.514198,0,0,0,2.981272,22.125154,0.104905,0.104901,24752,1.106981,0,0,0,16.513182,62.617964,0.990778,0.984869
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,300,24832,0.906277,347918,0.988238,3319,3377,8.113710,0,0,0,3.063367,22.207249,0.135954,0.135948,24753,1.106937,0,0,0,17.300252,63.405034,0.990818,0.984909
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,400,24832,0.906277,347918,0.988238,3319,4064,6.742126,0,0,0,3.001339,22.145221,0.163620,0.163613,24756,1.106802,0,0,0,17.770896,63.875678,0.990899,0.984949
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,500,24832,0.906277,347918,0.988238,3319,4661,5.878567,0,0,0,2.872354,22.016236,0.187661,0.187654,24761,1.106579,0,0,0,18.244935,64.349717,0.990979,0.984911
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,5,24832,0.906277,347918,0.988238,3319,13,2107.692308,0,0,0,1.902293,21.046175,0.000524,0.000524,24133,1.135375,0,0,0,11.896570,58.001352,0.969233,0.966703
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,10,24832,0.906277,347918,0.988238,3319,35,782.857143,0,0,0,2.173945,21.317827,0.001409,0.001409,24290,1.128036,0,0,0,14.176453,60.281235,0.975193,0.972296
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,100,24832,0.906277,347918,0.988238,3319,409,66.992665,0,0,0,2.592330,21.736212,0.016471,0.016471,24428,1.121664,0,0,0,16.716511,62.821293,0.980187,0.976726
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,200,24832,0.906277,347918,0.988238,3319,850,32.235294,0,0,0,2.664451,21.808333,0.034230,0.034230,24432,1.121480,0,0,0,17.269649,63.374431,0.980348,0.976886
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,300,24832,0.906277,347918,0.988238,3319,1321,20.741862,0,0,0,2.710482,21.854364,0.053197,0.053197,24437,1.121251,0,0,0,17.609474,63.714256,0.980469,0.976928
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,400,24832,0.906277,347918,0.988238,3319,1702,16.098707,0,0,0,2.762431,21.906313,0.068541,0.068541,24441,1.121067,0,0,0,18.331713,64.436495,0.980549,0.976930
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,500,24832,0.906277,347918,0.988238,3319,2130,12.863850,0,0,0,2.913502,22.057384,0.085776,0.085776,24446,1.120838,0,0,0,18.765157,64.869939,0.980751,0.977130
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.030000,5,24832,0.906277,347918,0.988238,3319,8,3425.000000,0,0,0,2.124986,21.268868,0.000322,0.000322,23791,1.151696,0,0,0,12.156076,58.260858,0.956427,0.954851
