,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,5,2.268347,21.019624,0.008698,0.008698,11.726972,58.101855,0.982241,0.977791
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,500,2.843515,21.594792,0.187661,0.187654,18.170342,64.545225,0.990979,0.984911
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,600,2.844886,21.596163,0.209327,0.209318,18.694209,65.069092,0.991060,0.984991
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,700,2.884677,21.635954,0.231153,0.231144,19.059319,65.434202,0.991100,0.985031
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,800,2.926929,21.678206,0.247946,0.247926,19.417002,65.791885,0.991100,0.984952
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,900,2.952632,21.703909,0.264659,0.264627,20.664860,67.039743,0.991140,0.984913
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,1000,2.995298,21.746575,0.278471,0.278438,20.071667,66.446550,0.991181,0.984953
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,1100,3.027940,21.779217,0.291600,0.291564,20.564321,66.939204,0.991221,0.984993
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,1200,3.073822,21.825099,0.306419,0.306382,20.727647,67.102530,0.991261,0.984994
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,1300,3.097640,21.848917,0.319306,0.319254,21.311619,67.686502,0.991302,0.984837
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,1400,3.133060,21.884337,0.331991,0.331938,22.149665,68.524548,0.991342,0.984759
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,1500,3.167943,21.919220,0.343267,0.343211,21.808847,68.183730,0.991463,0.984800
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,5,3.700603,26.097890,0.007350,0.007350,14.942584,72.324720,0.975772,0.972169
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,500,4.215927,26.613214,0.183987,0.183987,22.107633,79.489769,0.986422,0.982231
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,600,4.010341,26.407628,0.202143,0.202143,23.012560,80.394696,0.986422,0.982231
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,700,3.986801,26.384088,0.219707,0.219707,24.866745,82.248881,0.986422,0.982201
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,800,3.960025,26.357312,0.235340,0.235333,24.121583,81.503719,0.986516,0.982294
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,900,3.944241,26.341528,0.249074,0.249066,24.406225,81.788361,0.986516,0.982264
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,1000,4.070226,26.467513,0.263835,0.263827,24.675704,82.057840,0.986640,0.982388
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,1100,3.923202,26.320489,0.277319,0.277311,26.257709,83.639845,0.986671,0.982388
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,1200,4.137012,26.534299,0.290306,0.290296,25.597095,82.979231,0.986671,0.982388
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,1300,4.088429,26.485716,0.301672,0.301663,26.297832,83.679968,0.986702,0.982419
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,1400,4.248602,26.645889,0.312292,0.312282,26.471304,83.853440,0.986765,0.982481
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,1500,4.133669,26.530956,0.323316,0.323306,26.464554,83.846690,0.986796,0.982512
