,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,5,2.304489,21.448371,0.008698,0.008698,11.757458,57.862240,0.982241,0.977791
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,10,2.210129,21.354011,0.014095,0.014095,13.000768,59.105550,0.986751,0.981494
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,100,2.894992,22.038874,0.065883,0.065880,15.658252,61.763034,0.990577,0.984668
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,200,2.981272,22.125154,0.104905,0.104901,16.513182,62.617964,0.990778,0.984869
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,300,3.063367,22.207249,0.135954,0.135948,17.300252,63.405034,0.990818,0.984909
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,400,3.001339,22.145221,0.163620,0.163613,17.770896,63.875678,0.990899,0.984949
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.010000,500,2.872354,22.016236,0.187661,0.187654,18.244935,64.349717,0.990979,0.984911
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,5,1.902293,21.046175,0.000524,0.000524,11.896570,58.001352,0.969233,0.966703
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,10,2.173945,21.317827,0.001409,0.001409,14.176453,60.281235,0.975193,0.972296
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,100,2.592330,21.736212,0.016471,0.016471,16.716511,62.821293,0.980187,0.976726
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,200,2.664451,21.808333,0.034230,0.034230,17.269649,63.374431,0.980348,0.976886
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,300,2.710482,21.854364,0.053197,0.053197,17.609474,63.714256,0.980469,0.976928
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.020000,400,2.762431,21.906313,0.068541,0.068541,18.331713,64.436495,0.980549,0.976930
