,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,5,1336,0.321308,5036,0.375037,4742,243,17.111111,0,0,0,0.356946,1.637546,0.172904,0.171365,1503,2.766467,0,0,0,1.104895,7.404644,0.994760,0.880132
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,10,1336,0.321308,5036,0.375037,4742,378,11.000000,0,0,0,0.377999,1.658599,0.270210,0.266814,1523,2.730138,0,0,0,1.226008,7.525757,0.994760,0.868627
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,100,1336,0.321308,5036,0.375037,4742,849,4.897527,0,0,0,0.502217,1.782817,0.614521,0.601906,1578,2.634981,0,0,0,1.776585,8.076334,0.997754,0.843137
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,200,1336,0.321308,5036,0.375037,4742,977,4.255885,0,0,0,0.623306,1.903906,0.703593,0.684632,1627,2.555624,0,0,0,2.165923,8.465672,0.998503,0.818907
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,300,1336,0.321308,5036,0.375037,4742,1050,3.960000,0,0,0,0.502858,1.783458,0.754491,0.731495,1671,2.488330,0,0,0,2.530047,8.829796,0.999251,0.798445
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,400,1336,0.321308,5036,0.375037,4742,1092,3.807692,0,0,0,0.570307,1.850907,0.779192,0.750541,1727,2.407643,0,0,0,2.951296,9.251045,0.999251,0.772569
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,500,1336,0.321308,5036,0.375037,4742,1144,3.634615,0,0,0,0.576266,1.856866,0.809880,0.773963,1788,2.325503,0,0,0,3.049239,9.348988,0.999251,0.746227
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,5,1336,0.321308,5036,0.375037,4742,79,52.632911,0,0,0,0.284312,1.564912,0.059132,0.059132,1422,2.924051,0,0,0,1.016320,7.316069,0.986527,0.915278
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,10,1336,0.321308,5036,0.375037,4742,156,26.653846,0,0,0,0.322073,1.602673,0.116766,0.116766,1449,2.869565,0,0,0,1.215087,7.514836,0.991766,0.907534
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,100,1336,0.321308,5036,0.375037,4742,553,7.518987,0,0,0,0.406146,1.686746,0.411677,0.410754,1486,2.798116,0,0,0,1.802019,8.101768,0.994760,0.890154
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,200,1336,0.321308,5036,0.375037,4742,747,5.566265,0,0,0,0.439019,1.719619,0.553144,0.549851,1524,2.728346,0,0,0,2.182298,8.482047,0.995509,0.869281
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,300,1336,0.321308,5036,0.375037,4742,839,4.955900,0,0,0,0.492121,1.772721,0.619012,0.613501,1557,2.670520,0,0,0,2.517896,8.817645,0.995509,0.850928
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,400,1336,0.321308,5036,0.375037,4742,903,4.604651,0,0,0,0.502920,1.783520,0.659431,0.648748,1608,2.585821,0,0,0,2.806650,9.106399,0.997754,0.827436
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,500,1336,0.321308,5036,0.375037,4742,980,4.242857,0,0,0,0.551385,1.831985,0.708832,0.691746,1660,2.504819,0,0,0,3.114642,9.414391,0.997754,0.801563
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.030000,5,1336,0.321308,5036,0.375037,4742,38,109.421053,0,0,0,0.271349,1.551949,0.028443,0.028443,1365,3.046154,0,0,0,1.004807,7.304556,0.964820,0.912890
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.030000,10,1336,0.321308,5036,0.375037,4742,93,44.709677,0,0,0,0.346554,1.627154,0.069611,0.069611,1407,2.955224,0,0,0,1.212362,7.512111,0.982036,0.916841
