,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,5,0.356946,1.637546,0.172904,0.171365,1.104895,7.404644,0.994760,0.880132
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,10,0.377999,1.658599,0.270210,0.266814,1.226008,7.525757,0.994760,0.868627
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,100,0.502217,1.782817,0.614521,0.601906,1.776585,8.076334,0.997754,0.843137
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,200,0.623306,1.903906,0.703593,0.684632,2.165923,8.465672,0.998503,0.818907
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,300,0.502858,1.783458,0.754491,0.731495,2.530047,8.829796,0.999251,0.798445
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,400,0.570307,1.850907,0.779192,0.750541,2.951296,9.251045,0.999251,0.772569
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,500,0.576266,1.856866,0.809880,0.773963,3.049239,9.348988,0.999251,0.746227
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,5,0.284312,1.564912,0.059132,0.059132,1.016320,7.316069,0.986527,0.915278
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,10,0.322073,1.602673,0.116766,0.116766,1.215087,7.514836,0.991766,0.907534
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,100,0.406146,1.686746,0.411677,0.410754,1.802019,8.101768,0.994760,0.890154
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,200,0.439019,1.719619,0.553144,0.549851,2.182298,8.482047,0.995509,0.869281
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,300,0.492121,1.772721,0.619012,0.613501,2.517896,8.817645,0.995509,0.850928
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,400,0.502920,1.783520,0.659431,0.648748,2.806650,9.106399,0.997754,0.827436
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,500,0.551385,1.831985,0.708832,0.691746,3.114642,9.414391,0.997754,0.801563
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.030000,5,0.271349,1.551949,0.028443,0.028443,1.004807,7.304556,0.964820,0.912890
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.030000,10,0.346554,1.627154,0.069611,0.069611,1.212362,7.512111,0.982036,0.916841
