,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,5,10424,0.309354,129423,0.715792,39247,135,249.600000,0,0,0,1.930164,12.658167,0.012279,0.012271,9625,3.500883,0,0,0,4.934923,43.305582,0.850058,0.792009
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,10,10424,0.309354,129423,0.715792,39247,225,149.760000,0,0,0,1.880863,12.608866,0.020338,0.020312,9808,3.435563,0,0,0,4.671239,43.041898,0.859555,0.794890
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,100,10424,0.309354,129423,0.715792,39247,814,41.395577,0,0,0,2.156712,12.884715,0.076170,0.076025,10070,3.346177,0,0,0,5.397242,43.767901,0.874904,0.801829
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,200,10424,0.309354,129423,0.715792,39247,1112,30.302158,0,0,0,2.187594,12.915597,0.104566,0.104346,10120,3.329644,0,0,0,5.745845,44.116504,0.877974,0.803371
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,300,10424,0.309354,129423,0.715792,39247,1353,24.904656,0,0,0,2.209043,12.937046,0.127686,0.127417,10175,3.311646,0,0,0,6.101601,44.472260,0.880564,0.803765
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,400,10424,0.309354,129423,0.715792,39247,1516,22.226913,0,0,0,2.266703,12.994706,0.143227,0.142912,10211,3.299971,0,0,0,6.418065,44.788724,0.882483,0.804390
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,500,10424,0.309354,129423,0.715792,39247,1656,20.347826,0,0,0,2.271604,12.999607,0.156562,0.156202,10255,3.285812,0,0,0,6.736307,45.106966,0.885169,0.805711
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,5,10424,0.309354,129423,0.715792,39247,28,1203.428571,0,0,0,1.615806,12.343809,0.002686,0.002686,8529,3.950756,0,0,0,4.284410,42.655069,0.785207,0.760123
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,10,10424,0.309354,129423,0.715792,39247,49,687.673469,0,0,0,1.881776,12.609779,0.004701,0.004701,8690,3.877560,0,0,0,4.720846,43.091505,0.796623,0.768178
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,100,10424,0.309354,129423,0.715792,39247,315,106.971429,0,0,0,2.163792,12.891795,0.030219,0.030219,8916,3.779273,0,0,0,5.392274,43.762933,0.811972,0.778227
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,200,10424,0.309354,129423,0.715792,39247,482,69.908714,0,0,0,2.200991,12.928994,0.046239,0.046239,8961,3.760295,0,0,0,5.760851,44.131510,0.815522,0.781055
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,300,10424,0.309354,129423,0.715792,39247,619,54.436187,0,0,0,2.213114,12.941117,0.059382,0.059382,9011,3.739430,0,0,0,6.085587,44.456246,0.818400,0.782373
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,400,10424,0.309354,129423,0.715792,39247,737,45.720488,0,0,0,2.228534,12.956537,0.070702,0.070702,9046,3.724961,0,0,0,6.414893,44.785552,0.820894,0.784111
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,500,10424,0.309354,129423,0.715792,39247,809,41.651422,0,0,0,2.250153,12.978156,0.077609,0.077609,9089,3.707339,0,0,0,6.693093,45.063752,0.823868,0.786087
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.030000,5,10424,0.309354,129423,0.715792,39247,12,2808.000000,0,0,0,1.603829,12.331832,0.001151,0.001151,7993,4.215689,0,0,0,4.281490,42.652149,0.743956,0.727349
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.030000,10,10424,0.309354,129423,0.715792,39247,23,1465.043478,0,0,0,1.867856,12.595859,0.002206,0.002206,8167,4.125872,0,0,0,4.704689,43.075348,0.757866,0.738939
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.030000,100,10424,0.309354,129423,0.715792,39247,192,175.500000,0,0,0,2.159925,12.887928,0.018419,0.018419,8340,4.040288,0,0,0,5.399000,43.769659,0.770721,0.748742
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.030000,200,10424,0.309354,129423,0.715792,39247,315,106.971429,0,0,0,2.175529,12.903532,0.030219,0.030219,8368,4.026769,0,0,0,5.743315,44.113974,0.773312,0.751188
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.030000,300,10424,0.309354,129423,0.715792,39247,424,79.471698,0,0,0,2.198920,12.926923,0.040675,0.040675,8404,4.009519,0,0,0,6.084594,44.455253,0.775134,0.751768
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.030000,400,10424,0.309354,129423,0.715792,39247,532,63.338346,0,0,0,2.224553,12.952556,0.051036,0.051036,8431,3.996679,0,0,0,6.410105,44.780764,0.777533,0.753953
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.030000,500,10424,0.309354,129423,0.715792,39247,595,56.631933,0,0,0,2.256193,12.984196,0.057080,0.057080,8473,3.976868,0,0,0,6.705033,45.075692,0.780794,0.756553
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.040000,5,10424,0.309354,129423,0.715792,39247,5,6739.200000,0,0,0,1.608656,12.336659,0.000480,0.000480,7566,4.453608,0,0,0,4.276797,42.647456,0.708845,0.697010
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.040000,10,10424,0.309354,129423,0.715792,39247,18,1872.000000,0,0,0,1.878859,12.606862,0.001727,0.001727,7782,4.329992,0,0,0,4.703455,43.074114,0.727264,0.713506
