,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,5,10424,0.309354,129423,0.715792,39247,135,249.600000,0,0,0,1.951599,12.755223,0.012279,0.012271,9625,3.500883,0,0,0,4.988824,43.447518,0.850058,0.792009
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,500,10424,0.309354,129423,0.715792,39247,1656,20.347826,0,0,0,2.283536,13.087160,0.156562,0.156202,10255,3.285812,0,0,0,6.921739,45.380433,0.885169,0.805711
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,1000,10424,0.309354,129423,0.715792,39247,2131,15.812295,0,0,0,2.380996,13.184620,0.200883,0.200172,10467,3.219261,0,0,0,8.240111,46.698805,0.894666,0.806399
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,1500,10424,0.309354,129423,0.715792,39247,2490,13.532530,0,0,0,2.467260,13.270884,0.233787,0.232605,10709,3.146512,0,0,0,9.426932,47.885626,0.899271,0.797177
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,5,10424,0.309354,129423,0.715792,39247,135,249.600000,0,0,0,1.934486,12.780019,0.012279,0.012271,9625,3.500883,0,0,0,4.990874,43.536780,0.850058,0.792009
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,1500,10424,0.309354,129423,0.715792,39247,2490,13.532530,0,0,0,2.459664,13.305197,0.233787,0.232605,10709,3.146512,0,0,0,9.464678,48.010584,0.899271,0.797177
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,2000,10424,0.309354,129423,0.715792,39247,2773,12.151461,0,0,0,2.544994,13.390527,0.259401,0.257696,10857,3.103620,0,0,0,10.399635,48.945541,0.904163,0.794956
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,2500,10424,0.309354,129423,0.715792,39247,3008,11.202128,0,0,0,2.622539,13.468072,0.280602,0.278386,11030,3.054941,0,0,0,11.384529,49.930435,0.907713,0.789026
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,3000,10424,0.309354,129423,0.715792,39247,3278,10.279439,0,0,0,2.710597,13.556130,0.303722,0.300494,11219,3.003476,0,0,0,12.346191,50.892097,0.910111,0.780438
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,5,10424,0.309354,129423,0.715792,39247,135,249.600000,0,0,0,1.943605,12.598989,0.012279,0.012271,9625,3.500883,0,0,0,4.930136,43.114669,0.850058,0.792009
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,5000,10424,0.309354,129423,0.715792,39247,4206,8.011412,0,0,0,3.009128,13.664512,0.380276,0.371648,11907,2.829932,0,0,0,15.749198,53.933731,0.918457,0.750490
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,10000,10424,0.309354,129423,0.715792,39247,6440,5.232298,0,0,0,3.750189,14.405573,0.512471,0.463635,14071,2.394713,0,0,0,23.270925,61.455458,0.936493,0.662594
