,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,5,1.951599,12.755223,0.012279,0.012271,4.988824,43.447518,0.850058,0.792009
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,500,2.283536,13.087160,0.156562,0.156202,6.921739,45.380433,0.885169,0.805711
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,1000,2.380996,13.184620,0.200883,0.200172,8.240111,46.698805,0.894666,0.806399
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,1500,2.467260,13.270884,0.233787,0.232605,9.426932,47.885626,0.899271,0.797177
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,5,1.934486,12.780019,0.012279,0.012271,4.990874,43.536780,0.850058,0.792009
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,1500,2.459664,13.305197,0.233787,0.232605,9.464678,48.010584,0.899271,0.797177
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,2000,2.544994,13.390527,0.259401,0.257696,10.399635,48.945541,0.904163,0.794956
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,2500,2.622539,13.468072,0.280602,0.278386,11.384529,49.930435,0.907713,0.789026
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,3000,2.710597,13.556130,0.303722,0.300494,12.346191,50.892097,0.910111,0.780438
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,5,1.943605,12.598989,0.012279,0.012271,4.930136,43.114669,0.850058,0.792009
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,5000,3.009128,13.664512,0.380276,0.371648,15.749198,53.933731,0.918457,0.750490
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,10000,3.750189,14.405573,0.512471,0.463635,23.270925,61.455458,0.936493,0.662594
