,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,5,1.930164,12.658167,0.012279,0.012271,4.934923,43.305582,0.850058,0.792009
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,10,1.880863,12.608866,0.020338,0.020312,4.671239,43.041898,0.859555,0.794890
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,100,2.156712,12.884715,0.076170,0.076025,5.397242,43.767901,0.874904,0.801829
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,200,2.187594,12.915597,0.104566,0.104346,5.745845,44.116504,0.877974,0.803371
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,300,2.209043,12.937046,0.127686,0.127417,6.101601,44.472260,0.880564,0.803765
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,400,2.266703,12.994706,0.143227,0.142912,6.418065,44.788724,0.882483,0.804390
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.010000,500,2.271604,12.999607,0.156562,0.156202,6.736307,45.106966,0.885169,0.805711
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,5,1.615806,12.343809,0.002686,0.002686,4.284410,42.655069,0.785207,0.760123
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,10,1.881776,12.609779,0.004701,0.004701,4.720846,43.091505,0.796623,0.768178
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,100,2.163792,12.891795,0.030219,0.030219,5.392274,43.762933,0.811972,0.778227
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,200,2.200991,12.928994,0.046239,0.046239,5.760851,44.131510,0.815522,0.781055
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,300,2.213114,12.941117,0.059382,0.059382,6.085587,44.456246,0.818400,0.782373
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,400,2.228534,12.956537,0.070702,0.070702,6.414893,44.785552,0.820894,0.784111
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.020000,500,2.250153,12.978156,0.077609,0.077609,6.693093,45.063752,0.823868,0.786087
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.030000,5,1.603829,12.331832,0.001151,0.001151,4.281490,42.652149,0.743956,0.727349
,Email-Enron_component,33696,180811,0.000159,10424,747.000000,0.030000,10,1.867856,12.595859,0.002206,0.002206,4.704689,43.075348,0.757866,0.738939
