,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity,Avg. Component Number,Std. Component Number,Avg. Biggest Component,Std. Biggest Component,Avg. Face Number,Std. Face Number
,com-dblp.ungraph_component,317080,1049866,0.000010,90077,70168.000000,0.040000,5,24.515129,96.059016,0.000000,0.000000,68.961929,490.698953,0.918958,0.889110,172382.930000,208.627659,113.300000,28.851238,71.660000,16.662557
,com-dblp.ungraph_component,317080,1049866,0.000010,90077,70168.000000,0.040000,500,26.654854,98.198741,0.016664,0.016664,101.485462,523.222486,0.971325,0.917609,172382.930000,208.627659,113.300000,28.851238,71.660000,16.662557
,com-dblp.ungraph_component,317080,1049866,0.000010,90077,70168.000000,0.040000,1000,26.980615,98.524502,0.034104,0.034104,107.996342,529.733366,0.971724,0.917611,172382.930000,208.627659,113.300000,28.851238,71.660000,16.662557
,com-dblp.ungraph_component,317080,1049866,0.000010,90077,70168.000000,0.040000,1500,27.298263,98.842150,0.049735,0.049735,112.150397,533.887421,0.971946,0.917494,172382.930000,208.627659,113.300000,28.851238,71.660000,16.662557
,com-dblp.ungraph_component,317080,1049866,0.000010,90077,70168.000000,0.050000,5,21.559578,93.103465,0.000000,0.000000,70.138566,491.875590,0.898054,0.875003,172382.930000,208.627659,113.300000,28.851238,71.660000,16.662557
,com-dblp.ungraph_component,317080,1049866,0.000010,90077,70168.000000,0.050000,500,26.676552,98.220439,0.011923,0.011923,105.968719,527.705743,0.959313,0.915896,172382.930000,208.627659,113.300000,28.851238,71.660000,16.662557
,com-dblp.ungraph_component,317080,1049866,0.000010,90077,70168.000000,0.050000,1000,26.995999,98.539886,0.025889,0.025889,108.750934,530.487958,0.959734,0.916104,172382.930000,208.627659,113.300000,28.851238,71.660000,16.662557
,com-dblp.ungraph_component,317080,1049866,0.000010,90077,70168.000000,0.050000,1500,27.277731,98.821618,0.038989,0.038989,111.368235,533.105259,0.960056,0.916217,172382.930000,208.627659,113.300000,28.851238,71.660000,16.662557
,com-amazon.ungraph_component,334863,925872,0.000008,216109,220345.000000,0.040000,5,30.990766,104.689594,0.000019,0.000019,84.064330,476.223826,0.858530,0.822933,195235.470000,271.152551,72.150000,17.210741,37.320000,5.572080
,com-amazon.ungraph_component,334863,925872,0.000008,216109,220345.000000,0.040000,500,33.747485,107.446313,0.013433,0.013433,124.137597,516.297093,0.933205,0.875549,195235.470000,271.152551,72.150000,17.210741,37.320000,5.572080
,com-amazon.ungraph_component,334863,925872,0.000008,216109,220345.000000,0.040000,1000,34.349237,108.048065,0.030267,0.030266,133.393604,525.553100,0.933945,0.875347,195235.470000,271.152551,72.150000,17.210741,37.320000,5.572080
,com-amazon.ungraph_component,334863,925872,0.000008,216109,220345.000000,0.040000,1500,34.811453,108.510281,0.046999,0.046996,137.695742,529.855238,0.934501,0.875385,195235.470000,271.152551,72.150000,17.210741,37.320000,5.572080
,com-amazon.ungraph_component,334863,925872,0.000008,216109,220345.000000,0.050000,5,27.268073,100.966901,0.000019,0.000019,88.083869,480.243365,0.827221,0.799458,195235.470000,271.152551,72.150000,17.210741,37.320000,5.572080
,com-amazon.ungraph_component,334863,925872,0.000008,216109,220345.000000,0.050000,500,33.810784,107.509612,0.009583,0.009583,131.306695,523.466191,0.912294,0.864495,195235.470000,271.152551,72.150000,17.210741,37.320000,5.572080
,com-amazon.ungraph_component,334863,925872,0.000008,216109,220345.000000,0.050000,1000,34.368682,108.067510,0.022715,0.022715,133.078408,525.237904,0.913308,0.864489,195235.470000,271.152551,72.150000,17.210741,37.320000,5.572080
,com-amazon.ungraph_component,334863,925872,0.000008,216109,220345.000000,0.050000,1500,34.771272,108.470100,0.036324,0.036322,132.071736,524.231232,0.913937,0.864603,195235.470000,271.152551,72.150000,17.210741,37.320000,5.572080
