,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity,Avg. Component Number,Std. Component Number,Avg. Biggest Component,Std. Biggest Component,Avg. Face Number,Std. Face Number
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,5,60160,0.184693,292420,0.261659,168690,151,2157.145695,0,0,0,21.013564,167.201060,0.002493,0.002493,46918,6.942517,0,0,0,26.382724,327.543346,0.624069,0.539937,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,10,60160,0.184693,292420,0.261659,168690,270,1206.403704,0,0,0,19.039796,165.227292,0.004455,0.004455,50989,6.388221,0,0,0,23.816661,324.977283,0.669515,0.568328,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,100,60160,0.184693,292420,0.261659,168690,636,512.152516,0,0,0,21.122549,167.310045,0.010057,0.010051,56045,5.811919,0,0,0,28.646846,329.807468,0.718600,0.592416,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,200,60160,0.184693,292420,0.261659,168690,959,339.654849,0,0,0,21.196520,167.384016,0.015126,0.015114,58340,5.583288,0,0,0,30.740793,331.901415,0.724219,0.581455,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,300,60160,0.184693,292420,0.261659,168690,1251,260.374900,0,0,0,21.248271,167.435767,0.019731,0.019710,60598,5.375243,0,0,0,32.026466,333.187088,0.726529,0.567268,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,400,60160,0.184693,292420,0.261659,168690,1488,218.903898,0,0,0,21.275276,167.462772,0.023454,0.023424,61591,5.288581,0,0,0,33.126891,334.287513,0.727344,0.561030,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,500,60160,0.184693,292420,0.261659,168690,1732,188.065242,0,0,0,21.307120,167.494616,0.027427,0.027390,62376,5.222024,0,0,0,33.892439,335.053061,0.728275,0.556546,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.020000,5,60160,0.184693,292420,0.261659,168690,22,14805.863636,0,0,0,17.300864,163.488360,0.000366,0.000366,38435,8.474802,0,0,0,21.462733,322.623355,0.534624,0.484149,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.020000,10,60160,0.184693,292420,0.261659,168690,54,6032.018519,0,0,0,19.048072,165.235568,0.000898,0.000898,42214,7.716137,0,0,0,25.088425,326.249047,0.577726,0.514005,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.020000,100,60160,0.184693,292420,0.261659,168690,182,1789.719780,0,0,0,21.051990,167.239486,0.002909,0.002909,46599,6.990043,0,0,0,29.972700,331.133322,0.625947,0.544948,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
